area,Territorio,fascia,value
IT,Italia,0-4,2216510
IT,Italia,05-11,3701789
IT,Italia,12-19,4575259
IT,Italia,20-29,6002919
IT,Italia,30-39,6709398
IT,Italia,40-49,8701071
IT,Italia,50-59,9441640
IT,Italia,60-69,7420429
IT,Italia,70-79,5988381
IT,Italia,80-89,3674065
IT,Italia,90+,804752
IT,Italia,tot,59236213
ABR,Abruzzo,0-4,45504
ABR,Abruzzo,05-11,76189
ABR,Abruzzo,12-19,92749
ABR,Abruzzo,20-29,126687
ABR,Abruzzo,30-39,145800
ABR,Abruzzo,40-49,184920
ABR,Abruzzo,50-59,203966
ABR,Abruzzo,60-69,168493
ABR,Abruzzo,70-79,131875
ABR,Abruzzo,80-89,84671
ABR,Abruzzo,90+,20158
ABR,Abruzzo,tot,1281012
BAS,Basilicata,0-4,18747
BAS,Basilicata,05-11,30145
BAS,Basilicata,12-19,41254
BAS,Basilicata,20-29,58776
BAS,Basilicata,30-39,63246
BAS,Basilicata,40-49,75754
BAS,Basilicata,50-59,86942
BAS,Basilicata,60-69,73450
BAS,Basilicata,70-79,52789
BAS,Basilicata,80-89,35874
BAS,Basilicata,90+,8153
BAS,Basilicata,tot,545130
PAB,Bolzano / Bozen,0-4,26817
PAB,Bolzano / Bozen,05-11,38835
PAB,Bolzano / Bozen,12-19,45985
PAB,Bolzano / Bozen,20-29,61223
PAB,Bolzano / Bozen,30-39,63576
PAB,Bolzano / Bozen,40-49,75144
PAB,Bolzano / Bozen,50-59,85127
PAB,Bolzano / Bozen,60-69,58546
PAB,Bolzano / Bozen,70-79,46154
PAB,Bolzano / Bozen,80-89,27348
PAB,Bolzano / Bozen,90+,6157
PAB,Bolzano / Bozen,tot,534912
CAL,Calabria,0-4,74952
CAL,Calabria,05-11,116709
CAL,Calabria,12-19,147639
CAL,Calabria,20-29,202172
CAL,Calabria,30-39,225866
CAL,Calabria,40-49,258053
CAL,Calabria,50-59,281366
CAL,Calabria,60-69,242949
CAL,Calabria,70-79,178683
CAL,Calabria,80-89,108271
CAL,Calabria,90+,23941
CAL,Calabria,tot,1860601
CAM,Campania,0-4,239922
CAM,Campania,05-11,383513
CAM,Campania,12-19,503809
CAM,Campania,20-29,659757
CAM,Campania,30-39,692354
CAM,Campania,40-49,810530
